#,ELO,Player,Clan,Streak,Percent,Games,Last game
365,"1,599",RdmCivEnjoyer,"'-",4,54.05%,383,5/8/2026
366,"1,598",Suspi cious,GMDS,1,51.65%,"1,032",4/27/2026
367,"1,598",Slavtino,RøyaL,9,55.76%,278,4/29/2026
368,"1,597",TADAMS,"'-","'-2",49.95%,"5,874",5/9/2026
369,"1,594",[FIN™] THE MASK,"'-",4,55.38%,316,5/10/2026
370,"1,594",Wallcroft,WGs,"'-2",54.76%,378,4/13/2026
371,"1,593",灬亡灵★勇士灬,"'-","'-3",56.77%,229,5/2/2026
372,"1,593",TUKSON,RAZAS,3,56.17%,413,5/6/2026
373,"1,592",ItsjeGodtobias,NLD,"'-2",51.80%,"1,002",5/9/2026
374,"1,592",井井井井井井井井井井,新彼方,"'-2",52.23%,"1,480",5/8/2026
375,"1,592",PonceDeLeon,ᵡXᵈᵐ,2,50.77%,"2,332",4/21/2026
376,"1,591",Dandadespot,"'-","'-1",51.53%,"1,015",5/9/2026
377,"1,590",Scroogie,EPCM,"'-2",53.82%,262,5/2/2026
378,"1,590",orang.utan,"'-",8,67.33%,101,5/5/2026
379,"1,589",Gusgus10br,ANGRA,3,52.17%,782,4/17/2026
380,"1,589",MisterNegative,PRK2,2,53.93%,89,4/20/2026
381,"1,587",Jippy,"'-",2,50.29%,"2,082",5/1/2026
382,"1,586",二本不出兵的没几几,"'-",2,83.33%,30,5/6/2026
383,"1,585",aoeiii-greatplains-2v-3v-2005,"'-",3,55.85%,188,5/10/2026
384,"1,585",Mr. APM Himself,"'-","'-3",50.80%,"1,305",4/25/2026
385,"1,584",SWORD NEW NEW,"'-",2,58.73%,126,5/10/2026
386,"1,584",Silahtar,"'-","'-3",49.97%,"7,145",5/10/2026
387,"1,584",BrZi,"'-","'-1",50.78%,"1,341",5/10/2026
388,"1,583",drschauss,"'-",2,50.58%,"4,763",5/10/2026
389,"1,581",Kael,"'-",1,52.14%,886,5/6/2026
390,"1,579",postsurmise,"'-","'-1",52.06%,582,5/4/2026
391,"1,579",bust a nut,"'-","'-1",51.34%,"1,048",5/7/2026
392,"1,578",chokowa,"'-",4,52.43%,639,5/8/2026
393,"1,578",noname,"'-","'-2",57.14%,154,5/9/2026
394,"1,577",motch,"'-","'-5",59.40%,234,4/25/2026
395,"1,577",Charly01,TremC,"'-1",52.22%,900,5/8/2026
396,"1,577",Klein,"'-",1,52.50%,619,4/29/2026
397,"1,576",Kelsey,"'-",3,50.70%,"2,361",5/9/2026
398,"1,576",Manzana,SpNz,5,52.33%,621,4/29/2026
399,"1,574",Hanma Yujiro,GGplz,1,51.20%,"2,127",5/9/2026
400,"1,572",Schmititi,RøyaL,"'-1",51.20%,"1,205",4/22/2026
401,"1,572",没关系,ANGLR,2,62.96%,81,5/6/2026
402,"1,571",Bacalar,"'-",8,58.72%,172,5/7/2026
403,"1,570",Natasha4647,JGR,"'-1",51.69%,"1,867",5/9/2026
404,"1,569",Victor Timely,AOTDE,"'-3",50.96%,"1,197",5/5/2026
405,"1,568",candarpasa,ÇERİG,3,50.19%,"4,569",5/9/2026
406,"1,568",Reborn,"'-","'-2",52.04%,"1,003",5/10/2026
407,"1,567",KastaN,SpNz,"'-1",49.96%,"2,454",5/9/2026
408,"1,567",Tom,"'-",3,50.86%,"1,221",5/3/2026
409,"1,564",The_Imperian,"'-","'-1",51.27%,"2,009",5/9/2026
410,"1,564",<color=184/134/11>Olavo Opressor,AoWr,1,52.84%,405,5/7/2026
411,"1,562",kesis bolano,"'-","'-2",52.60%,886,5/8/2026
412,"1,562",cateatkebab,keb1b,2,51.33%,452,4/27/2026
413,"1,562",DoRaNiToR_,3WW,2,50.12%,"7,059",5/8/2026
414,"1,562",啊这也行？,DVA,2,50.26%,"4,644",5/10/2026
415,"1,560",coleslaw,"'-",7,88.57%,35,4/26/2026
416,"1,559",SuperMarine,"'-",4,50.48%,"2,991",4/22/2026
417,"1,559",3DJakob,"'-",1,50.63%,"1,357",5/8/2026
418,"1,558",Killey,BRAKK,2,52.72%,552,5/6/2026
419,"1,557",$₳₵ℝĭҒĭℂ€Ð♙⟨ℙᵰພℕ⟩🖕,HvNy,2,51.47%,"1,663",4/21/2026
420,"1,557",米格尔随军神父,"'-","'-1",82.61%,23,5/4/2026
421,"1,557",好学先生,"'-",1,49.98%,"2,875",5/7/2026
422,"1,557",聪聪大帝,"'-",2,66.13%,62,5/8/2026
423,"1,556",iTz-IncogniTo,"'-","'-1",51.77%,705,5/9/2026
424,"1,556",Goklayeh,armag,3,50.17%,"2,394",5/5/2026
425,"1,556",Fire,SpNz,"'-3",51.74%,661,5/6/2026
426,"1,556",Иван Петрович,"'-",1,50.53%,"13,826",5/3/2026
427,"1,555",LuisCocada,"'-",3,50.61%,"2,847",5/10/2026
428,"1,555",Pochilok,RatCO,2,51.47%,"1,397",5/10/2026
429,"1,555",Neah,"'-","'-1",64.38%,73,4/24/2026
430,"1,554",NHKshine,"'-","'-2",50.34%,"3,697",5/8/2026
431,"1,554",sherm27,"'-","'-1",52.16%,416,5/8/2026
432,"1,553",xzeron4,"'-",7,50.49%,"2,260",5/1/2026
433,"1,553",Fernando,KMOTE,"'-5",59.46%,148,4/29/2026
434,"1,553",MANGO,ÍDOLO,"'-1",50.53%,"2,531",5/2/2026
435,"1,553",TK3,"'-",2,50.58%,"3,114",5/3/2026
436,"1,552",asap alex,"'-",1,51.45%,"1,347",5/4/2026
437,"1,552",I_am_person,WizZ,1,57.69%,208,5/5/2026
438,"1,551",ibubble,"'-",3,53.74%,348,5/10/2026
439,"1,551",御前九品带刀刺猬,AOTDE,5,50.30%,"1,479",4/21/2026
440,"1,551",<color=1/0.3/0>BigDaddyDre,"'-","'-6",53.31%,317,5/8/2026
441,"1,549",Maryll,"'-","'-2",50.16%,"2,568",5/10/2026
442,"1,549",Bling_offical,"'-",3,51.06%,805,4/16/2026
443,"1,549",PlayerRondom,"'-","'-3",52.21%,839,4/20/2026
444,"1,548",Rodia,EXHIL,6,53.28%,366,5/10/2026
445,"1,548",Whitezetsu,LECX,"'-2",50.34%,"3,534",5/10/2026
446,"1,547",Kyle,"'-",1,50.64%,"1,564",5/10/2026
447,"1,546",sAnxiety',"'-",3,50.27%,"2,735",4/26/2026
448,"1,546",SB 8ace 挨千刀,8AC沙雕,2,53.69%,352,4/17/2026
449,"1,546",让我一次萌个够,AOTDE,2,49.88%,"12,196",4/30/2026
450,"1,546",萬水千山我陪妳,"'-","'-2",53.20%,"1,156",4/28/2026
451,"1,544",Count_Sudooku,Malz,5,52.81%,445,5/10/2026
452,"1,543",心在福尼亚,AOTDE,3,52.52%,733,4/29/2026
453,"1,543",橘色柳丁,"'-","'-1",56.54%,191,4/29/2026
454,"1,542",Sir Prized,NGDZ,"'-1",54.17%,312,4/19/2026
455,"1,542",goodspeed,"'-",1,76.47%,34,4/30/2026
456,"1,541",CoolJedi,"'-","'-1",50.66%,"1,808",4/29/2026
457,"1,540",Molla,FR3ND,"'-3",53.54%,226,5/10/2026
458,"1,540","'-TKS-  Stan",ANGLR,8,52.09%,716,5/6/2026
459,"1,540",Undertaker,AOTDE,1,65.56%,90,5/10/2026
460,"1,540",Yaz,GGplz,"'-4",54.06%,320,4/26/2026
461,"1,540",a tree on a hill,MYN,"'-2",50.30%,"1,668",4/22/2026
462,"1,539",Brunino,"'-","'-1",50.49%,915,5/2/2026
463,"1,538",EGLM,CCIS,4,52.93%,735,5/10/2026
464,"1,538",durak online902,MFalc,1,56.76%,185,5/10/2026
465,"1,538",彼暗,"'-",1,50.34%,"4,295",5/10/2026
466,"1,537",<color=1/1/1>MDG_Destiny,MDGGP,3,54.79%,188,4/28/2026
467,"1,536",Zion,"'-",4,50.09%,"7,177",5/1/2026
468,"1,536",Black Watch,"'-","'-2",49.87%,"3,922",4/23/2026
469,"1,535",dancing llama,"'-",2,51.11%,"1,084",5/9/2026
470,"1,534",wangwang,"'-",2,88.89%,18,5/8/2026
471,"1,533",袥城m,A0TDE,"'-2",75.68%,37,5/10/2026
472,"1,533",你在吠什么,四海商会,1,50.82%,"3,471",5/10/2026
473,"1,533",Rantess,MFalc,"'-1",50.64%,"2,407",5/9/2026
474,"1,533",Moon,RøyaL,"'-1",53.31%,679,5/2/2026
475,"1,532",Romário do Age,"'-",1,52.99%,268,4/30/2026
476,"1,531",送分才子,"'-","'-1",78.79%,33,4/25/2026
477,"1,530",Pluto墨淡,"'-","'-1",93.33%,15,5/8/2026
478,"1,530",auslese,"'-",8,49.85%,"6,452",5/6/2026
479,"1,530",Joeycool22,ANGLR,1,49.50%,"4,812",5/10/2026
480,"1,529",Name Me King,"'-","'-2",58.33%,72,4/28/2026
481,"1,529",adventuremode,海绵宝宝,"'-2",50.65%,"4,802",5/4/2026
482,"1,528",My_neighbor_Alice,"'-","'-2",66.67%,51,4/24/2026
483,"1,527",LeeX,"'-",1,50.91%,986,4/22/2026
484,"1,527",BanaaniApina,T1SS1,"'-2",50.23%,"1,748",4/24/2026
485,"1,526",Illyrier,"'-",2,66.67%,75,5/10/2026
486,"1,526",peacemaker0003,"'-",2,50.27%,"2,912",5/10/2026
487,"1,526",arzelot07,Envy,"'-1",51.47%,"1,259",5/10/2026
488,"1,525",Bombelicious,SolR,4,51.06%,942,4/15/2026
489,"1,525",nikuniku,"'-",2,50.24%,"4,206",5/10/2026
490,"1,524",killhouse,TıTAN,"'-4",50.36%,"1,674",5/10/2026
491,"1,523",Ask4salvation,NLD,"'-1",49.90%,"4,946",5/10/2026
492,"1,523",离别歌,"'-","'-1",54.76%,210,4/20/2026
493,"1,522",DoriBalam,"'-","'-1",49.53%,"2,560",5/10/2026
494,"1,521",ryuge_cat,keb1b,6,51.11%,630,5/9/2026
495,"1,521",GLANDE SEPOY GUY,PIRO,5,56.47%,170,4/14/2026
496,"1,521",Quikaragon,"'-","'-1",50.64%,"1,872",5/9/2026
497,"1,520",BIGTIO,ANGRA,1,50.59%,"6,141",5/10/2026
498,"1,520",ANTCSG,"'-",2,50.56%,"3,412",5/10/2026
499,"1,517",Specter El Grande,GRAL,1,52.65%,321,4/20/2026
500,"1,517",Toblerone36,"'-",1,52.13%,587,4/21/2026
501,"1,517",YoungRetired,Modu,2,50.50%,"3,786",4/13/2026
502,"1,515",TheClaymore2004,TSREV,2,50.59%,"2,212",5/10/2026
503,"1,513",GreatCake11,"'-","'-1",52.99%,368,5/7/2026
504,"1,513",NosborKing,ABABR,"'-2",51.36%,"1,032",5/9/2026
505,"1,513",Jellyfish,"'-",1,51.46%,925,5/9/2026
506,"1,513",futilejargon,Ola,3,51.00%,749,5/10/2026
507,"1,512",Marv,OPBR,1,51.71%,584,5/10/2026
508,"1,512",神里流霜叶,"'-","'-1",51.00%,"1,808",5/8/2026
509,"1,511",theforestsinteal,vaska,"'-1",51.02%,"1,911",4/29/2026
510,"1,511",Playo de tugurio,RVOLT,2,51.21%,"1,285",5/10/2026
511,"1,511",gdeluciou,"'-",1,50.16%,"4,603",5/5/2026
512,"1,510",Gui Muntini,ANGRA,2,50.70%,"1,501",5/7/2026
513,"1,510",écartèlement,"'-","'-1",54.84%,217,5/10/2026
514,"1,510",ArtyomGurevich,SETSO,"'-3",56.50%,246,4/19/2026
515,"1,510",Porucznik_Mruczkowsky,"'-",1,51.24%,484,5/10/2026
516,"1,509",Tercio_español,"'-",2,51.57%,"1,084",5/10/2026
517,"1,508",joueur-animateur en direct,"'-",3,49.89%,"3,287",5/1/2026
518,"1,507",liam_jarvo,"'-",4,49.96%,"4,618",5/8/2026
519,"1,507",Gommiustan,APEMP,"'-3",54.09%,220,5/2/2026
520,"1,506",rivaldojm18,"'-",1,50.78%,"2,109",5/9/2026
521,"1,506",Doppelsoldener,MFalc,5,54.27%,199,4/20/2026
522,"1,506",junio,ANGRA,1,52.18%,964,5/2/2026
523,"1,505",billie jean,"'-",1,58.02%,81,5/6/2026
524,"1,505",塔防防的住,"'-","'-1",50.47%,"3,069",5/1/2026
525,"1,505",Arx,"'-","'-2",51.70%,704,4/29/2026
526,"1,504",<color=2/2/2>ZWJ‘s Disciple,GGGGC,"'-3",63.29%,79,5/9/2026
527,"1,504",Storm,"'-",2,53.27%,520,5/10/2026
528,"1,504",SHAKA14,KAIZN,1,52.80%,375,4/29/2026
529,"1,503",MrJB,τKc,1,69.77%,43,4/25/2026
530,"1,503",Swekey7482,ANGLR,1,61.29%,124,4/25/2026
531,"1,502",yna6666,"'-",4,53.40%,324,4/29/2026
532,"1,502",丁爻,AOTDE,"'-3",50.40%,"2,478",5/2/2026
533,"1,502",happymcclll,"'-",3,50.19%,"10,092",5/10/2026
534,"1,501",Dsquaredcri,TcP,1,50.26%,"1,512",5/6/2026
535,"1,501",Renegado,ThuGG,"'-1",58.68%,121,5/2/2026
536,"1,501",<color=1/0.3/0> 1312,"'-","'-1",49.92%,"1,965",5/5/2026
537,"1,499",Grote Smurg,LAMIN,"'-1",49.95%,"2,110",5/10/2026
538,"1,499",Illkerbey,"'-","'-1",50.44%,"5,137",5/10/2026
539,"1,499",Mr emmanouil,A4G,"'-1",50.95%,"1,213",5/10/2026
540,"1,498",Oswald,KAIZN,"'-1",50.32%,"2,007",5/10/2026
541,"1,497",Thranduil,UNIBR,1,54.79%,219,4/28/2026
542,"1,497",yannick.bormans,"'-",1,51.09%,687,5/10/2026
543,"1,497",pontakun,CIVTW,"'-1",50.66%,"2,195",5/4/2026
544,"1,496",BiGBiRD,TPG,"'-1",52.28%,526,4/30/2026
545,"1,495",Hitty,АtakА,"'-1",60.24%,83,4/22/2026
546,"1,494",VelikayaKoteyka,CCIS,2,88.89%,18,5/8/2026
547,"1,494",ligfin13,"'-","'-2",51.19%,"1,760",5/6/2026
548,"1,494",Panderick,"'-",2,53.44%,247,5/10/2026
549,"1,494",Lam_Magno,"'-",1,53.08%,341,5/1/2026
550,"1,494",Sentey,"'-",2,55.69%,167,4/26/2026
551,"1,493",Volg Zangief,"'-","'-1",50.58%,"1,544",4/17/2026
552,"1,492",Thergan,KAIZN,5,50.22%,"4,773",5/9/2026
553,"1,491",☪ GALACTİCA ☪,Tur4n,"'-1",50.38%,"1,189",5/10/2026
554,"1,491",Morgle,"'-",1,49.81%,"2,405",4/18/2026
555,"1,491",这波我很坑,"'-",1,50.03%,"1,875",4/25/2026
556,"1,490",Pedro Navajas,GRAL,"'-2",54.82%,197,5/5/2026
557,"1,490",揣而锐之 不可长保,"'-","'-2",50.35%,"2,405",4/26/2026
558,"1,489",1198561219,"'-","'-2",54.93%,142,5/5/2026
559,"1,489",Daiaccho,"'-",1,50.08%,"4,197",5/9/2026
560,"1,489",Schnitzeljäger,KEKs,4,51.57%,731,4/20/2026
561,"1,489",McLovin,pchop,"'-3",52.81%,534,5/4/2026
562,"1,488",辽东大窜天猴,平沙落雁,1,50.71%,"2,877",5/6/2026
563,"1,488",Maydn,"'-",3,51.06%,850,5/8/2026
564,"1,488",BASCHKOV,RIOIS,1,50.40%,"2,770",5/7/2026
565,"1,485",ryottei1211,"'-",3,49.96%,"16,857",5/10/2026
566,"1,485",NanoSnake66,"'-",2,50.54%,"3,265",5/10/2026
567,"1,484",Afroholic,"'-",1,49.87%,"3,170",5/10/2026
568,"1,483",Goober,"'-",6,50.55%,"2,433",5/10/2026
569,"1,483",solaire,makla,"'-4",53.18%,346,5/3/2026
570,"1,482",black coffee,"'-",13,100.00%,13,4/28/2026
571,"1,482",iTsLuke,GG10,"'-4",65.31%,49,4/15/2026
572,"1,482",★W.Pollom,bsul,"'-2",53.65%,507,5/9/2026
573,"1,481",✧Gāʍеცℝəժ✞,"'-",1,49.89%,"9,325",5/4/2026
574,"1,480",a.seum,Bayer,3,50.24%,"2,064",5/3/2026
575,"1,480",Setsunä,"'-",13,90.00%,20,4/24/2026
576,"1,479",Scutarii,"'-","'-3",50.08%,"2,528",5/10/2026
577,"1,478",Essek yalanci,"'-","'-1",67.31%,52,5/6/2026
578,"1,477",Levelopment,"'-",1,49.94%,"6,826",5/10/2026
579,"1,477",Andrés Manuel López Obrador,keb1b,"'-2",50.15%,"3,446",5/9/2026
580,"1,476",Ragnar Lothbrok,"'-",1,51.18%,"1,141",5/10/2026
581,"1,476",Joselow,R3VOS,2,51.49%,771,5/10/2026
582,"1,476",Achille,PFW,"'-1",50.39%,"3,046",5/10/2026
583,"1,476",Manyiot34,"'-","'-1",50.27%,"2,049",5/4/2026
584,"1,474",Shrekelini Swampalini,HvNy,"'-1",54.71%,276,5/3/2026
585,"1,473",Hassan Nsr,HzBl,2,50.94%,"1,592",4/23/2026
586,"1,473",FlowMatching,RVOLT,"'-1",53.22%,481,4/18/2026
587,"1,472",Pr0t0typ,GGplz,2,54.14%,290,4/14/2026
588,"1,471",LipalWarrior,"'-","'-1",51.29%,425,5/5/2026
589,"1,470",Navarro,UNIBR,1,50.12%,"7,680",5/8/2026
590,"1,470",leetobr,"'-","'-2",53.31%,302,5/10/2026
591,"1,469",tenben51,ILoC,1,50.88%,910,5/8/2026
592,"1,467",thunerkven7,"'-",1,51.21%,988,4/25/2026
593,"1,467",500,"'-",2,50.72%,759,5/7/2026
594,"1,467",TheBello3483,RVOLT,"'-2",50.54%,"2,857",5/8/2026
595,"1,466",S3 Xy Nootka,GLUE,"'-1",50.69%,"2,383",5/10/2026
596,"1,466",Fiber bundle,"'-","'-6",50.63%,"2,210",5/10/2026
597,"1,465",nissy1231ttv,"'-",1,67.35%,49,5/10/2026
598,"1,464",Tiko,"'-","'-1",50.22%,"3,602",5/10/2026
599,"1,464",kenaikawa,"'-","'-1",50.58%,"4,816",5/10/2026
600,"1,463",DownToBuck,"'-","'-3",50.56%,"2,047",5/7/2026
601,"1,463",mhongpa,"'-","'-1",50.11%,"3,758",5/2/2026
602,"1,462",DoppelSoldeneR,MFalc,1,61.84%,76,5/8/2026
603,"1,462",bleary_eyes,"'-",1,50.10%,"4,126",4/21/2026
604,"1,461",Bresi,RøyaL,"'-4",51.45%,585,5/5/2026
605,"1,461",McCleves,SNBRO,2,50.20%,"1,271",5/6/2026
606,"1,461",juLieFrank,"'-",3,51.72%,"1,369",5/8/2026
607,"1,460",Ivar the Boneless,HoA50,"'-2",50.24%,"4,188",5/10/2026
608,"1,460",Z_Boson,APEMP,6,52.83%,441,5/7/2026
609,"1,460",Domador de Therians,ELKO,"'-3",51.85%,677,4/14/2026
610,"1,460",T4p1sh,"'-",1,50.97%,"1,081",5/6/2026
611,"1,460",又来导弹了,萌新之家,1,53.24%,447,4/19/2026
612,"1,460",zweistein83,"'-","'-2",50.28%,"5,312",5/10/2026
613,"1,459",Blaminal,GGWIN,"'-2",50.49%,"3,850",5/10/2026
614,"1,459",klod mone,"'-","'-2",51.29%,464,5/6/2026
615,"1,459",Majkl_sk,"'-",2,55.26%,266,5/2/2026
616,"1,458",prayB4play,MAS,"'-2",50.10%,"4,938",5/9/2026
617,"1,458",炸鱼勾我给你全家出殡,AOTDE,"'-3",50.46%,"2,830",5/10/2026
618,"1,458",Brrr Uzi Schniedelwutzi,"'-","'-1",52.98%,487,5/10/2026
619,"1,456",Hexenhammer,"'-","'-5",50.00%,"3,410",5/4/2026
620,"1,456",gustav,"'-",1,50.52%,954,5/10/2026
621,"1,456",Mr JAMH.,GRAL,2,51.07%,703,5/7/2026
622,"1,455",Ironman_2000,"'-",1,50.46%,"2,612",4/25/2026
623,"1,454",M痴男,"'-","'-1",51.09%,736,5/10/2026
624,"1,454",Foxesholo,"'-",1,50.97%,"1,232",5/10/2026
625,"1,453",⸸ Satanic⛧Keili ⸸,xLGAx,1,50.41%,"1,708",4/23/2026
626,"1,453",♥ Chispita ♥,"'-","'-7",52.01%,448,5/6/2026
627,"1,452",Hvonnus,"'-",3,75.00%,28,4/17/2026
628,"1,452",AYMAN,ANGLR,1,60.44%,91,5/10/2026
629,"1,450",love my B-;B-;C；your mom,"'-",2,66.67%,63,5/8/2026
630,"1,450",capedbaldy,AoWr,1,50.54%,"1,773",5/7/2026
631,"1,450",诶嘿,志愿军,4,53.65%,520,5/10/2026
632,"1,450",miylars,"'-",3,50.40%,"2,998",5/10/2026
633,"1,450",Emmis,SKÅLA,"'-1",50.68%,809,5/10/2026
634,"1,449",赵月月3号,ZYY,3,66.67%,45,5/9/2026
635,"1,449",MaxyBeasty,XBWPK,1,50.43%,"3,006",5/9/2026
636,"1,449",HardcoreApe,MALKI,"'-2",52.60%,462,5/7/2026
637,"1,449",Terranigma,"'-",1,50.41%,"4,150",5/8/2026
638,"1,449",lets go marci,平沙落雁,"'-1",51.33%,865,5/2/2026
639,"1,449",ycgold,Leão,"'-2",50.60%,"1,905",5/4/2026
640,"1,448",Saotome,ZAQ,"'-1",55.85%,188,4/19/2026
641,"1,448",Apmpnamedslickback,"'-",1,50.26%,"6,222",5/9/2026
642,"1,448",iron.turtle,"'-",1,50.52%,"2,399",4/29/2026
643,"1,448",Fulminant,"'-","'-1",50.48%,"3,683",5/8/2026
644,"1,448",拉普拉斯飞羽,"'-",1,51.26%,755,4/15/2026
645,"1,447",Baxus,"'-",11,100.00%,11,4/28/2026
646,"1,447",Shiotatsu0,"'-",1,54.96%,353,5/9/2026
647,"1,447",Chaopeskao,"'-",2,51.35%,631,4/19/2026
648,"1,447",The G00K of Nagasaki,JIHAÐ,"'-7",51.76%,968,4/18/2026
649,"1,447",sant_pedro11,LatWs,"'-1",50.30%,"2,666",5/10/2026
650,"1,447",rrrrrrrrrrrrrrrrrrr,lNTCl,7,54.13%,218,4/18/2026
651,"1,446",Roc_Xel,"'-",1,49.73%,"5,361",5/10/2026
652,"1,446",没事那就打个胶吧,"'-","'-1",50.07%,"3,773",5/10/2026
653,"1,445",KrispyK,MFalc,"'-2",50.05%,913,4/25/2026
654,"1,445",ZelenskyyV2123,CCIS,1,56.90%,116,5/9/2026
655,"1,445",Cbeto,"'-","'-1",50.43%,"4,214",5/10/2026
656,"1,445",delaverendrye,"'-","'-1",50.47%,"3,509",5/8/2026
657,"1,445",赵月月,ZYY,1,64.46%,121,5/3/2026
658,"1,444",Atomos,"'-",1,50.27%,"3,734",5/5/2026
659,"1,444",Austin_Redneck,SpNz,"'-1",50.00%,"1,318",5/3/2026
660,"1,443",Molibo13,"'-",4,50.51%,"1,851",5/4/2026
661,"1,443",maymar02062000,"'-",1,52.18%,412,5/6/2026
662,"1,442",TheLegend27,GOOON,1,50.64%,"1,102",5/10/2026
663,"1,442",愤怒的菜鸟,"'-",3,50.29%,"2,786",4/26/2026
664,"1,441",Sikoo,"'-",1,50.80%,"1,132",5/9/2026
665,"1,441",Kingofemoly,CCIS,6,55.88%,204,5/7/2026
666,"1,441",rePower,"'-","'-2",50.15%,"1,964",5/10/2026
667,"1,439",hosseinlojje,"'-",1,50.61%,976,5/8/2026
668,"1,439",Duong,AEVN,"'-2",54.15%,325,4/16/2026
669,"1,439",Rodrigogt,ANGRA,"'-5",50.31%,"3,558",5/6/2026
670,"1,439",Johnston,"'-",6,49.96%,"4,800",4/19/2026
671,"1,438",Major_Adibou,"'-",1,60.27%,73,5/10/2026
672,"1,438",Jedi_Mind_Tricks,AOTP,"'-2",53.00%,200,5/10/2026
673,"1,437",Håkon_,RøyaL,1,49.87%,"2,779",5/10/2026
674,"1,437",aresadna777,"'-",6,50.12%,"6,086",5/6/2026
675,"1,436",Halberdier5070,"'-","'-1",63.49%,63,5/4/2026
676,"1,436",WLX,"'-",1,58.02%,162,5/10/2026
677,"1,435",Lordofshadow,"'-",7,87.50%,16,5/9/2026
678,"1,435",賣逼能制富,"'-",10,92.86%,14,5/10/2026
679,"1,435",Gerasimov,"'-",2,49.97%,"7,893",5/10/2026
680,"1,435",Whitefalcon,"'-",3,50.52%,"1,639",5/3/2026
681,"1,435",joaq_dz,"'-","'-1",50.22%,"8,670",5/10/2026
682,"1,434",DORAEMON0.0,"'-",1,61.73%,81,5/9/2026
683,"1,434",HotaruSusume,"'-",1,51.23%,"1,058",5/4/2026
684,"1,433",misty,"'-",6,51.58%,789,5/10/2026
685,"1,433",Bronson,"'-",2,52.18%,412,5/10/2026
686,"1,433",一心一亘,"'-",1,50.32%,"2,464",5/7/2026
687,"1,433",White Dragon,"'-","'-1",51.19%,926,5/9/2026
688,"1,433",B_H,"'-",2,54.31%,232,5/6/2026
689,"1,432",Red Hetman,"'-","'-1",57.14%,154,4/21/2026
690,"1,432",Twitch.tv/XelazG,"'-",1,50.34%,"1,037",4/24/2026
691,"1,432",政委A,"'-","'-2",51.06%,"1,514",5/10/2026
692,"1,431",jianzhengwuguomeng,"'-",2,64.58%,48,5/9/2026
693,"1,431",啊？Coggo,"'-","'-1",57.85%,223,4/28/2026
694,"1,430",漫游,"'-",1,51.39%,"1,189",5/9/2026
695,"1,430",abocideefoge,"'-","'-2",56.52%,92,5/2/2026
696,"1,430",aromat,"'-","'-2",68.57%,35,4/19/2026
697,"1,430",<color=0/2/2>小诺,兔兔骑士团,"'-2",70.31%,64,5/6/2026
698,"1,430",cyker,"'-","'-1",51.39%,755,5/1/2026
699,"1,430",box2box1,"'-",2,50.39%,"3,366",4/17/2026
700,"1,429",jhonkev95,TICO,"'-2",51.05%,"1,769",5/10/2026
701,"1,426",Anterica,"'-",2,85.00%,20,5/10/2026
702,"1,426",Davy Jones3316,"'-","'-2",51.83%,"1,364",5/6/2026
703,"1,426",Leapar12,"'-",2,50.39%,"3,191",5/5/2026
704,"1,425",Turgon,"'-",1,50.17%,"4,325",5/10/2026
705,"1,423",<color=2/12/0>Farrista Khamenei,"'-","'-2",50.04%,"1,177",5/10/2026
706,"1,422",Perro Mojado,"'-",1,50.01%,"6,936",5/10/2026
707,"1,421",MARK STALKER,"'-",1,58.06%,93,5/7/2026
708,"1,421",Alopecia,"'-",1,59.34%,91,5/7/2026
709,"1,421",FanaticGull8010,"'-",1,51.52%,460,5/6/2026
710,"1,421",azail3,R3VOS,"'-1",54.49%,334,4/29/2026
711,"1,420",Anbsadbiun,"'-",2,52.16%,278,5/9/2026
712,"1,420",Makandrw,"'-",1,50.84%,"1,363",5/10/2026
713,"1,420",MarshmallowMen,NBO,2,50.70%,"1,075",5/1/2026
714,"1,419",semurlucas,"'-","'-2",54.23%,260,4/29/2026
715,"1,419",UNSCOOP,BRAKK,"'-7",55.86%,111,4/17/2026
716,"1,419",陈,TOP,"'-4",51.09%,920,5/7/2026
717,"1,419",Elvisnaga03,ANGLR,"'-3",57.14%,98,5/1/2026
718,"1,418",Thunderjet,RøyaL,1,51.87%,455,4/19/2026
719,"1,418",P.Stein,"'-","'-3",52.59%,251,5/7/2026
720,"1,418",hidden_blaze,"'-","'-2",49.94%,"1,610",4/15/2026
721,"1,417",在做梦,"'-","'-4",58.33%,84,4/28/2026
722,"1,417",Rostop19,"'-",1,49.97%,"3,514",5/7/2026
723,"1,416",<color=0.6/1/0>Arbuz,CCIS,7,72.13%,61,5/5/2026
724,"1,416",roarLion789,"'-",2,50.67%,"1,052",5/9/2026
725,"1,416",BlueFurnaceMenace,"'-",2,51.13%,"1,148",5/10/2026
726,"1,416",tabishiori,"'-",2,51.07%,"1,400",5/9/2026
727,"1,414",Rikjuh,sisev,1,53.13%,32,4/19/2026
728,"1,414",Meatballs,"'-",3,53.81%,210,4/23/2026
729,"1,414",13 E Confirma,SAPNS,"'-2",54.02%,261,5/10/2026
730,"1,414",斑纹马,DGLZD,"'-1",52.27%,220,4/24/2026
731,"1,414",p7g,"'-","'-2",50.93%,"1,938",5/10/2026
732,"1,414",Barrelrider,JGR,1,50.48%,"3,229",5/9/2026
733,"1,413",CUM,CHIMÚ,"'-6",51.69%,826,5/9/2026
734,"1,413",drolek97,RI1,"'-1",53.85%,234,4/26/2026
735,"1,411",Zireael,EFES,"'-1",56.80%,206,5/10/2026
